18:50	시편 2:6, 시편 144:10, 시편 89:20, 시편 89:36, 이사야 9:7, 누가복음 1:32-33, 요한 계시록 5:5, 사무엘하 7:15-17, 열왕기상 3:6
19:1	시편 8:3-4, 이사야 40:22, 로마서 1:20, 시편 150:1, 요한 계시록 4:11
19:4	로마서 10:18
19:6	시편 104:19
19:7	시편 119:72, 시편 23:3, 시편 119:111, 시편 119:129, 잠언 1:5, 디모데 후서 3:15
19:8	역대기하 24:9-10, 잠언 4:4, 잠언 6:23, 마태복음 6:22
19:9	신명기 10:12, 잠언 1:7, 말라기 3:16, 시편 119:137, 시편 119:160, 요한 계시록 16:7
19:10	시편 119:127, 잠언 8:10, 시편 119:103, 잠언 16:24
19:11	시편 119:11, 시편 119:165
19:12	고린도 전서 4:4
19:13	창세기 20:6, 신명기 17:12, 사무엘상 15:23, 사무엘하 6:7, 역대기하 26:16-18, 시편 119:133, 이사야 38:3
19:14	시편 49:3, 시편 51:15, 시편 143:5, 빌립보서 4:8, 시편 18:2, 욥기 19:25, 이사야 43:14
20:1	시편 9:10, 잠언 18:10
20:2	역대기하 20:8-9, 사무엘하 5:7, 시편 50:2, 시편 134:3
20:4	시편 21:1-2
20:5	시편 59:16, 사무엘상 17:45
20:6	시편 2:2, 시편 2:4, 시편 17:7
20:7	시편 33:17, 이사야 31:1, 역대기하 14:11, 역대기하 20:12, 역대기하 32:8
20:8	사사기 5:31, 시편 125:1
20:9	시편 18:50, 시편 44:4
21:1	시편 63:11, 시편 28:7
21:2	시편 2:8, 시편 20:4
21:3	사무엘하 12:30
21:4	시편 13:3, 시편 61:6
21:5	사무엘하 7:8-9
21:6	시편 72:17, 시편 16:11, 시편 45:7
21:7	사무엘상 30:6, 시편 16:8
21:9	신명기 32:22, 시편 110:5, 말라기 4:1
21:11	시편 34:16, 시편 2:1
21:12	시편 9:3, 시편 56:9
22:1	시편 22:16, 마태복음 27:46, 마가복음 15:34, 히브리서 5:7
22:2	시편 42:3
22:3	이사야 6:3, 베드로 전서 1:15
22:4	창세기 15:1, 창세기 15:6, 출애굽기 14:13, 히브리서 11:32-34
22:5	시편 25:2, 시편 99:6, 로마서 10:11
22:6	시편 31:11, 이사야 53:3
22:7	시편 35:16, 시편 109:25
22:8	마태복음 27:41-43, 누가복음 23:35-36
22:9	시편 71:6, 시편 139:16
22:11	시편 10:1, 누가복음 23:46, 히브리서 5:7
22:12	시편 68:30, 에스겔 39:18
22:13	시편 57:4, 베드로 전서 5:8, 마태복음 26:4
