7:7	열왕기상 10:18, 시편 122:2, 시편 122:5, 열왕기상 3:9, 열왕기상 3:28, 잠언 20:8
7:8	열왕기하 20:4, 열왕기상 3:1, 열왕기상 9:24, 역대기하 8:11
7:9	열왕기상 5:17, 역대기하 4:9
7:12	열왕기상 6:36, 역대기하 4:9, 역대기하 7:7, 열왕기상 6:3
7:13	열왕기상 7:40, 역대기하 2:13-14
7:14	역대기하 4:16, 출애굽기 36:1
7:15	열왕기상 7:21, 열왕기하 25:13, 열왕기하 25:17, 역대기하 3:15, 예레미야 52:21
7:17	열왕기하 25:17, 역대기하 4:12-13
7:20	열왕기하 25:17, 역대기하 3:16, 예레미야 52:22-23
7:21	열왕기상 6:3, 에스겔 40:48, 역대기하 3:17
7:23	출애굽기 30:18, 열왕기하 25:13, 역대기하 4:2-5
7:24	열왕기상 6:18
7:25	예레미야 52:20
7:27	열왕기하 25:16, 예레미야 52:17
7:29	에스겔 41:19, 창세기 3:24, 출애굽기 25:18, 열왕기상 6:27, 역대기하 3:7, 에스겔 41:17-18
7:36	열왕기상 6:29, 열왕기상 6:32
7:37	열왕기상 7:27, 열왕기상 7:15, 열왕기상 7:46, 역대기하 4:3
7:38	출애굽기 30:18
7:39	역대기하 4:6, 역대기하 4:10
7:40	열왕기상 7:13, 역대기하 2:13, 출애굽기 27:3, 열왕기하 25:14, 출애굽기 24:6, 역대기하 4:11-17
7:41	열왕기상 7:15, 열왕기상 7:17
7:42	열왕기상 7:20
7:43	열왕기상 7:27, 열왕기상 7:38
7:44	열왕기상 7:23
7:47	역대기상 22:14, 역대기상 22:16, 역대기하 4:18-22
7:48	출애굽기 37:25, 출애굽기 37:10
7:49	출애굽기 37:17, 요한 계시록 1:20, 열왕기상 6:18, 출애굽기 37:23
7:50	예레미야 52:18, 출애굽기 25:29, 레위기 16:12, 열왕기상 6:31, 열왕기상 6:33
7:51	사무엘하 8:10-12, 역대기하 5:1
8:1	역대기하 5:2-3, 전도서 1:1, 사무엘하 5:7, 역대기상 11:5, 사무엘하 6:17
8:2	레위기 23:34, 신명기 16:13
8:3	역대기상 15:2, 역대기상 15:15, 역대기하 5:4-6
8:4	출애굽기 40:2, 역대기하 1:13
8:5	역대기상 16:1
8:6	출애굽기 26:33, 출애굽기 40:21, 사무엘하 6:17, 요한 계시록 11:19, 열왕기상 6:27, 역대기하 5:7, 시편 80:1, 에스겔 10:5
8:7	출애굽기 25:20, 역대기하 5:8-10
8:8	출애굽기 25:14, 출애굽기 37:4
8:9	신명기 4:13, 히브리서 9:4, 출애굽기 19:1, 민수기 10:11-12, 출애굽기 24:8, 출애굽기 40:20, 신명기 10:5
8:10	출애굽기 40:34, 레위기 16:2, 역대기하 5:11-14
8:11	출애굽기 40:35, 에스겔 10:4, 에스겔 43:4, 에스겔 44:4, 사도행전 7:55, 요한 계시록 21:23
8:12	출애굽기 20:21, 신명기 5:22, 역대기하 6:1-2, 시편 18:11, 시편 97:2
8:13	시편 78:69, 시편 132:13-14
8:14	역대기하 6:3-11
8:16	신명기 12:11
8:17	사무엘하 7:1-3, 역대기상 17:1-2
8:19	사무엘하 7:12-13
8:20	역대기상 28:5-6
8:21	출애굽기 34:28, 신명기 9:9, 신명기 31:26
8:22	역대기하 6:12
8:23	출애굽기 15:11, 사무엘상 2:2, 사무엘하 7:22, 신명기 7:9, 역대기하 6:14-17
8:24	사무엘하 7:12-13
8:25	열왕기상 2:4, 시편 132:12
8:27	이사야 66:1, 시편 148:13, 예레미야 23:24, 역대기하 2:6, 역대기하 6:18-21, 느헤미야 9:6, 사도행전 17:24
8:29	출애굽기 20:24, 사무엘하 7:13, 다니엘 6:10, 베드로 전서 3:12
8:30	시편 33:13, 역대기하 7:13-14, 다니엘 9:19
8:31	역대기하 6:22-23
8:32	욥기 34:11
8:33	레위기 26:14, 레위기 26:17, 여호수아 7:8, 여호수아 7:11, 열왕기하 17:6-7, 느헤미야 1:11, 열왕기하 19:19-20, 역대기하 6:24-25
8:34	시편 106:47
8:35	에스겔 14:13, 레위기 26:19, 신명기 28:23, 역대기하 6:26-27
8:36	이사야 30:20, 이사야 54:13, 열왕기상 18:1
8:37	레위기 26:16, 열왕기하 6:25, 신명기 28:21-22, 아모스 4:9, 역대기하 6:28-31
8:38	잠언 14:10, 역대기하 33:12-13
8:39	이사야 63:15, 시편 130:4, 욥기 34:11, 시편 18:20, 사무엘상 16:7, 역대기상 28:9, 예레미야 17:10
8:41	민수기 9:14, 룻기 1:16, 열왕기하 5:15, 역대기하 6:32-33, 이사야 56:6-7, 사도행전 8:27
8:42	느헤미야 9:10
8:43	시편 11:4, 시편 67:2, 시편 102:15
8:44	출애굽기 23:31, 열왕기상 20:13, 시편 78:68, 시편 132:13, 역대기하 6:34-35, 역대기하 14:11, 역대기하 20:5-6
8:46	시편 51:5, 시편 130:3, 전도서 7:20, 로마서 3:23, 요한 1서 1:8, 신명기 28:15, 신명기 28:36, 열왕기하 17:6, 열왕기하 25:21, 역대기하 6:36-39
8:47	레위기 26:40, 신명기 30:1-2, 느헤미야 1:6, 시편 106:6, 잠언 28:13, 다니엘 9:5, 신명기 4:27, 신명기 4:29, 역대기하 33:12-13
8:48	사무엘상 7:3, 다니엘 6:10
8:49	이사야 63:15
8:50	역대기하 30:9, 에스라 7:28, 느헤미야 2:7-8
8:51	출애굽기 14:30, 출애굽기 19:5, 신명기 9:26, 신명기 4:20
8:52	역대기하 6:40, 시편 86:5, 시편 145:18
8:53	출애굽기 19:6, 신명기 4:34, 신명기 32:9
8:54	역대기하 6:12-13
8:56	열왕기상 4:24-25, 신명기 10:11, 여호수아 21:45
8:57	신명기 31:6, 여호수아 1:5, 역대기하 32:7, 시편 46:7, 이사야 41:10, 히브리서 13:5
8:58	시편 86:11, 시편 119:36, 데살로니가 후서 3:5
8:60	여호수아 4:24, 사무엘상 17:46, 에스겔 36:23, 에스겔 39:7, 신명기 4:35, 신명기 4:39, 이사야 44:6
8:61	신명기 18:13, 열왕기하 20:3, 역대기상 28:9, 마태복음 22:37
8:62	역대기하 7:4-5
8:63	레위기 3:1, 에스라 6:16, 느헤미야 12:27
8:64	역대기하 4:1, 레위기 3:16
8:65	창세기 15:18, 민수기 34:5, 민수기 34:8, 레위기 23:34
8:66	시편 31:19, 이사야 63:7, 예레미야 31:12
9:1	역대기하 8:1, 전도서 2:4, 역대기하 7:11
9:2	열왕기상 3:5
9:3	신명기 12:5-6, 열왕기상 8:28-29, 역대기하 6:40, 역대기하 16:9, 시편 132:13
9:4	열왕기상 3:6, 시편 78:70, 시편 78:72, 역대기상 29:17, 전도서 12:13, 역대기하 7:17-18
9:5	사무엘하 7:16-17, 열왕기상 2:4, 시편 89:20, 시편 89:29
9:6	열왕기상 11:4, 역대기하 7:19-22
9:7	레위기 18:28, 신명기 4:26, 사무엘하 7:14, 열왕기하 17:22-23, 시편 89:30-32, 열왕기하 25:9-10, 역대기하 15:2, 신명기 28:37, 시편 44:14
9:8	역대기하 36:19, 이사야 64:11, 신명기 29:24-25, 예레미야 22:8-9
9:9	신명기 28:64, 예레미야 5:19, 예레미야 12:7
9:10	열왕기상 6:37-7:1, 역대기하 8:1-2
9:11	열왕기상 5:1, 열왕기상 5:7, 열왕기상 5:8
9:14	열왕기상 10:21
9:15	열왕기상 6:37, 사무엘하 5:9, 열왕기상 11:27, 열왕기하 12:20, 여호수아 19:32, 여호수아 19:36, 여호수아 17:11, 사사기 5:19, 열왕기하 9:27, 사사기 1:29, 열왕기상 4:6, 열왕기상 5:13
9:16	여호수아 16:10, 열왕기상 3:1
9:17	여호수아 16:1, 여호수아 16:3, 역대기하 8:4-6
9:18	여호수아 19:44, 여호수아 19:48
9:19	열왕기상 4:26
9:20	민수기 13:29, 신명기 7:1, 사사기 1:21, 역대기하 8:7-10
9:21	창세기 9:25
9:22	레위기 25:39
9:23	열왕기상 5:16, 역대기하 2:18
9:24	열왕기상 3:1, 열왕기상 7:8, 역대기하 8:11, 사무엘하 5:9, 열왕기상 9:15
9:25	출애굽기 23:14, 역대기하 8:12-13, 역대기하 8:16
9:26	신명기 2:8, 역대기하 8:17-18
9:27	열왕기상 5:12
9:28	창세기 10:29, 역대기상 29:3-4, 시편 45:9
10:1	열왕기상 4:29, 역대기하 9:1-2, 마태복음 12:42
10:2	시편 72:10, 출애굽기 25:3, 출애굽기 25:6, 열왕기하 20:13
10:4	열왕기상 3:28, 전도서 12:9, 역대기하 9:3-8
10:5	열왕기상 4:22
10:8	잠언 8:34
10:9	열왕기상 5:7
10:10	창세기 43:11, 시편 72:10
10:11	열왕기상 9:27-28, 시편 45:9, 역대기하 2:8, 역대기하 9:10-11
10:12	역대기하 5:12, 시편 150:3
10:13	역대기하 9:12
10:14	역대기하 9:13-14
10:16	열왕기상 14:25-26, 역대기하 9:15-16
10:17	열왕기상 7:2
10:18	시편 122:2, 시편 122:5, 역대기하 9:17-19
10:19	창세기 49:9, 민수기 23:24, 민수기 24:9
10:21	열왕기상 7:2, 역대기하 9:20-21
10:22	창세기 10:4, 시편 72:10, 에스겔 27:12, 요나 1:3, 열왕기상 10:18
10:23	전도서 5:19, 열왕기상 3:12-13, 열왕기상 4:29, 역대기하 9:22-24
10:24	잠언 2:6
10:26	신명기 17:15-16, 열왕기상 4:26, 역대기하 1:14, 역대기하 9:25
10:27	역대기하 1:15, 역대기하 9:27
10:28	역대기하 1:16-17, 역대기하 9:28
10:29	여호수아 1:4
11:1	열왕기상 3:1, 신명기 17:15, 신명기 17:17, 느헤미야 13:26, 창세기 19:36-37, 열왕기상 14:21, 열왕기상 16:30-31, 창세기 26:34-35
11:2	출애굽기 34:16, 신명기 7:3, 여호수아 23:12-13, 고린도 후서 6:14
11:4	열왕기상 11:42, 신명기 7:3-4, 느헤미야 13:26
11:5	사사기 2:11, 사사기 2:13, 사사기 10:6, 사무엘상 7:3, 스바냐 1:5
11:6	열왕기상 15:5
11:7	레위기 26:30, 민수기 33:52, 열왕기하 21:1, 열왕기하 21:3, 레위기 18:21, 사도행전 7:43, 열왕기하 23:13
11:9	신명기 7:3-4, 잠언 4:23, 열왕기상 3:5, 열왕기상 9:2
11:10	역대기하 7:19-20
11:11	열왕기하 17:21
11:12	역대기하 10:18-19
11:13	사무엘하 7:12, 사무엘하 7:15, 신명기 12:11, 열왕기상 12:20, 역대기하 11:1
11:14	사무엘하 7:12, 사무엘하 7:14, 창세기 27:40
11:15	사무엘하 8:13
11:18	민수기 10:12
11:21	열왕기상 2:10, 열왕기상 2:34
11:23	열왕기상 11:14, 사무엘하 8:3
11:24	사무엘하 10:18, 사무엘하 8:5, 열왕기상 19:15, 이사야 7:8
