4:23	마태복음 4:13, 요한복음 4:46-48
4:24	마태복음 13:57, 마가복음 6:4, 요한복음 4:44
4:25	열왕기상 18:1
4:26	열왕기상 17:9-10
4:27	열왕기하 5:1, 열왕기하 5:14
4:28	누가복음 2:34
4:30	요한복음 8:59, 요한복음 10:39
4:31	마가복음 1:21-22
4:32	마태복음 7:28, 요한복음 7:46
4:33	마가복음 1:23-28
4:34	마태복음 2:23, 마태복음 8:29, 누가복음 4:41, 누가복음 8:28, 야고보서 2:19
4:37	누가복음 5:15
4:38	마태복음 8:14-15, 마가복음 1:29-31
4:40	마태복음 8:16-17, 마가복음 1:32-34
4:41	마태복음 8:28-29, 마가복음 3:11, 사도행전 19:15, 사도행전 16:17-18, 마가복음 1:23-25, 마가복음 3:11-12, 누가복음 4:33-35
4:42	마가복음 1:35-38
4:43	마태복음 4:23, 누가복음 8:1, 요한복음 9:4, 사도행전 10:38, 로마서 15:8
5:1	마태복음 4:18, 마가복음 1:16
5:2	마태복음 4:21
5:5	요한복음 21:3
5:6	요한복음 21:6
5:10	마태복음 4:21, 마가복음 1:19, 마태복음 4:19, 마가복음 1:17
5:11	마태복음 4:20, 마태복음 4:22, 마태복음 6:33, 마태복음 19:27, 마가복음 1:18, 마가복음 1:20, 누가복음 18:28, 빌립보서 3:8
5:12	마태복음 8:2, 마가복음 1:40-45
5:13	마태복음 8:3, 마가복음 1:41
5:14	마가복음 7:36, 누가복음 8:56, 레위기 14:2-4, 레위기 14:10, 레위기 14:20, 마태복음 8:4
5:15	마태복음 4:24-25, 마가복음 3:7-8, 요한복음 6:2
5:17	시편 103:2-3, 마가복음 2:1-2
5:18	마태복음 9:2, 마가복음 2:3-12
5:20	마태복음 9:2-8
5:21	시편 103:2-3, 시편 130:3-4, 이사야 43:25
5:24	요한복음 5:6-9
5:26	마가복음 5:42, 사도행전 3:9-10
5:27	마태복음 9:9, 마가복음 2:14
5:28	누가복음 5:11
5:29	마태복음 9:10-13, 마가복음 2:15-17
5:30	누가복음 15:1-2
5:31	이사야 53:4, 마태복음 9:12, 마가복음 2:17
5:32	마태복음 9:13, 디모데 전서 1:15
5:33	마태복음 9:14-15, 마가복음 2:18-20, 누가복음 7:34
5:35	마태복음 22:2, 고린도 후서 11:2, 요한 계시록 19:7, 누가복음 17:22, 요한복음 16:19-20
5:36	마태복음 9:16-17, 마가복음 2:21-22
6:1	신명기 23:25, 마태복음 12:1-8, 마가복음 2:23-28
6:2	출애굽기 20:9-10, 신명기 5:13-14, 요한복음 5:9-10
6:3	사무엘상 21:1-6
6:4	레위기 24:5-9
6:5	마태복음 12:8, 마가복음 2:27-28
6:6	누가복음 13:14, 요한복음 9:16, 마태복음 12:9-14, 마가복음 3:1-6
6:7	누가복음 14:1-3
6:8	누가복음 5:22, 요한복음 2:24-25
6:9	마태복음 12:11, 마가복음 3:4, 요한복음 7:23
6:12	마태복음 6:6, 마가복음 3:13, 마태복음 14:23
6:13	마태복음 10:2-4, 마가복음 3:14-19, 사도행전 1:13
6:14	요한복음 14:8
6:15	요한복음 11:16
6:17	마태복음 4:24-25, 마가복음 3:7-8
6:19	마태복음 14:35-36, 마가복음 5:30
6:20	이사야 57:15, 마태복음 11:5, 누가복음 4:18, 마태복음 5:2-3, 야고보서 2:5
6:21	시편 107:9, 이사야 55:1, 예레미야 31:25, 마태복음 5:6, 이사야 61:3, 요한 계시록 21:4
6:22	요한복음 17:14, 베드로 전서 3:14, 요한복음 16:2, 마태복음 5:10-11
6:23	역대기하 36:16, 마태복음 5:12, 누가복음 11:47, 사도행전 7:52
6:24	야고보서 5:1, 마태복음 6:2, 누가복음 16:25
6:25	이사야 65:13
6:26	요한복음 15:19, 야고보서 4:4, 요한 1서 4:5
6:27	출애굽기 23:4, 잠언 25:21, 마태복음 5:44, 로마서 12:20
6:28	누가복음 23:34, 사도행전 7:59-60, 로마서 12:14, 베드로 전서 2:21, 베드로 전서 2:23
6:29	마태복음 5:39-40, 고린도 전서 6:7
6:30	신명기 15:7-8, 잠언 3:27, 잠언 21:26, 마태복음 5:42
6:31	마태복음 7:12
6:32	마태복음 5:46-47
6:34	레위기 25:35-36, 신명기 15:7-8, 마태복음 5:42
6:35	출애굽기 22:25, 레위기 25:37, 신명기 23:20, 시편 37:25-26, 마태복음 5:45, 사도행전 14:17
6:36	마태복음 5:48, 에베소서 5:1-2, 야고보서 2:13
6:37	마태복음 7:1-2, 로마서 14:10, 로마서 14:13, 마태복음 6:14, 마가복음 11:25
6:38	사도행전 20:35, 잠언 19:17
6:39	마태복음 15:14
6:41	마태복음 7:3-5
6:42	로마서 2:21
6:43	마태복음 7:16-18
6:44	마태복음 12:33
6:45	마태복음 12:34-35
6:46	마태복음 7:21, 누가복음 13:24, 로마서 2:13, 야고보서 1:22
6:47	마태복음 7:24-27
6:48	시편 125:1, 사도행전 14:22, 디모데 후서 3:12
6:49	야고보서 1:23-24
7:2	마태복음 8:5-6
7:6	마태복음 8:8-9
7:9	마태복음 8:10
7:10	마태복음 8:13
7:12	열왕기상 17:17, 누가복음 8:41-42, 누가복음 9:38
7:13	히브리서 4:15, 누가복음 8:52, 요한복음 11:33
7:14	열왕기상 17:21-22, 누가복음 8:52-54, 요한복음 11:43, 사도행전 9:40
7:15	열왕기상 17:23, 열왕기하 4:36
7:16	신명기 18:15, 누가복음 24:19, 요한복음 4:19, 요한복음 6:14, 요한복음 7:40, 누가복음 1:68
7:18	마태복음 11:2-6, 요한복음 3:26
7:19	시편 40:7, 시편 118:26, 스가랴 9:9, 마태복음 3:11
7:21	이사야 53:4
7:22	이사야 42:7, 이사야 29:18, 이사야 35:5-6, 이사야 61:1, 누가복음 4:18, 야고보서 2:5
7:23	이사야 8:14, 누가복음 2:34, 요한복음 6:60, 요한복음 6:66
7:24	마태복음 11:7-11
7:25	마가복음 1:6
7:26	마가복음 1:2, 누가복음 1:67, 누가복음 1:76
7:27	이사야 40:3, 말라기 3:1, 누가복음 1:16-17, 요한복음 1:23
7:28	마태복음 11:11, 누가복음 1:13, 누가복음 1:15
7:29	마태복음 3:5-6, 누가복음 3:12
7:30	사도행전 13:46, 로마서 10:2-3
7:31	마태복음 11:16-19
7:33	민수기 6:2-3, 마태복음 3:4, 누가복음 1:13, 누가복음 1:15
7:34	마태복음 11:19, 누가복음 5:30
7:35	요한복음 10:37-38
7:36	누가복음 14:1
7:37	마태복음 26:6-7, 마가복음 14:3, 요한복음 12:3
7:39	마태복음 9:11, 누가복음 15:2
7:44	창세기 18:4, 창세기 24:32, 사무엘상 25:41
7:47	시편 32:1, 시편 51:1, 시편 103:2-3, 이사야 1:18, 이사야 43:25, 이사야 44:22, 누가복음 7:41-42, 디모데 전서 1:13-14
7:48	마태복음 9:2, 마가복음 2:5
7:49	마태복음 9:3-7, 마가복음 2:7, 누가복음 5:21
7:50	마태복음 9:22, 누가복음 8:48, 누가복음 17:19
8:1	마태복음 9:35, 누가복음 4:43
8:2	요한복음 19:25, 요한복음 20:18
8:3	누가복음 24:9-10, 마태복음 27:55-56, 마가복음 15:40-41
8:4	마태복음 13:1-3, 마가복음 4:1-2
8:5	마태복음 13:3-9, 마가복음 4:3-9, 누가복음 8:12
8:6	누가복음 8:13
8:7	누가복음 8:14
8:8	누가복음 8:15, 마태복음 11:15, 마태복음 13:9, 마태복음 13:43, 마가복음 4:9, 마가복음 4:23
8:9	마태복음 13:10, 마가복음 4:10
8:10	시편 78:2, 마태복음 13:34-35, 마가복음 4:34, 이사야 6:9-10, 마태복음 13:11, 마태복음 13:13, 마가복음 4:11-12
8:11	마태복음 13:18-23, 마가복음 4:14-20, 베드로 전서 1:25
8:12	마태복음 13:19, 마가복음 4:15, 고린도 전서 1:21, 고린도 후서 2:11, 고린도 후서 4:3-4, 베드로 전서 5:8
8:13	마태복음 13:20-21, 마가복음 4:16-17
8:14	마태복음 19:23, 디모데 전서 6:9, 디모데 후서 4:10, 마태복음 13:22, 마가복음 4:18-19
8:15	사도행전 16:14, 마태복음 13:23, 마가복음 4:20, 히브리서 10:36
8:16	마태복음 5:15, 마가복음 4:21, 누가복음 11:33, 빌립보서 2:15
8:17	마태복음 10:26, 마가복음 4:22, 누가복음 12:2
8:18	마태복음 25:23, 마태복음 13:12, 마태복음 25:29, 마가복음 4:24-25, 누가복음 19:26
8:19	마태복음 13:55, 요한복음 7:5, 사도행전 1:14, 마태복음 12:46-47, 마가복음 3:31-32
8:21	마태복음 12:48-50, 마가복음 3:33-35, 요한복음 15:14
8:22	마태복음 8:18, 마태복음 8:23, 마가복음 4:35-36
8:23	마태복음 8:24-27, 마가복음 4:37-41
8:24	시편 89:9
8:25	마태복음 8:27, 마가복음 4:41
8:26	마가복음 5:1
8:27	마태복음 8:28-29, 마가복음 5:2-10
