1:1	누가복음 1:3, 누가복음 3:23
11:2	사도행전 10:45, 사도행전 15:1, 갈라디아서 2:12, 갈라디아서 6:12-13
11:5	사도행전 10:10-16
11:11	사도행전 10:17-20
11:13	사도행전 10:30-33
11:15	사도행전 2:1, 사도행전 2:4, 사도행전 10:44-45
11:16	마태복음 3:11, 마가복음 1:8, 누가복음 3:16, 사도행전 1:5, 요엘 2:28, 요한복음 1:33, 사도행전 1:5, 사도행전 2:17
11:17	사도행전 10:47
11:18	이사야 11:10, 사도행전 15:14-18, 사도행전 17:30, 로마서 10:12, 로마서 15:8-9
11:19	사도행전 8:1, 사도행전 15:3, 사도행전 21:3-4, 사도행전 27:3, 마태복음 10:5-6
11:21	사도행전 2:47, 사도행전 9:35
11:22	사도행전 4:36-37
11:23	사도행전 13:43, 사도행전 14:21-22
11:24	사도행전 2:47, 사도행전 4:4, 사도행전 5:14, 사도행전 9:31
11:25	사도행전 21:39
11:26	사도행전 9:2
11:27	고린도 전서 12:28, 에베소서 4:11
11:28	사도행전 21:10-11, 마태복음 24:7, 사도행전 18:2
11:29	고린도 후서 8:12, 갈라디아서 2:10
11:30	사도행전 12:25
12:1	요한복음 15:20
12:2	마태복음 4:21, 마태복음 20:20-23, 누가복음 11:49
12:3	출애굽기 12:15, 출애굽기 23:15, 레위기 23:6
12:4	누가복음 21:12, 민수기 28:16
12:5	고린도 후서 1:11
12:7	시편 34:7, 다니엘 3:28, 다니엘 6:21-22, 히브리서 1:7, 히브리서 1:14, 사도행전 5:18-19
12:10	사도행전 16:26
12:11	베드로 후서 2:9
12:12	사도행전 13:5, 사도행전 15:37-38, 골로새서 4:10
12:17	마태복음 13:55, 사도행전 15:13, 사도행전 21:18, 고린도 전서 15:7, 갈라디아서 1:19, 갈라디아서 2:9
12:19	사도행전 16:27
12:24	사도행전 6:7, 사도행전 19:20, 골로새서 1:6
12:25	사도행전 4:36-37, 사도행전 11:29-30, 사도행전 13:5, 사도행전 15:37-38
13:1	고린도 전서 12:28, 에베소서 4:11-12, 사도행전 4:36-37, 누가복음 3:1
13:2	사도행전 9:15, 디모데 전서 2:7
13:5	사도행전 12:25
13:10	요한복음 8:44
13:13	사도행전 14:24-25, 사도행전 12:12, 사도행전 15:37-38
13:14	디모데 후서 3:11, 마태복음 4:23, 사도행전 17:1-2, 사도행전 18:4, 사도행전 19:8
13:15	누가복음 4:16, 사도행전 15:21
13:17	출애굽기 6:1, 출애굽기 6:6, 신명기 7:6, 신명기 7:8
13:18	출애굽기 16:35, 민수기 14:33-34
13:19	신명기 7:1, 여호수아 14:1-2
13:20	사사기 2:16, 사무엘상 3:20
13:21	사무엘상 8:4-5, 사무엘상 10:21, 사무엘상 11:15
13:22	사무엘상 16:12-13, 시편 89:20, 사무엘상 16:1, 사무엘상 13:13-14
13:23	사무엘하 7:12, 이사야 11:1, 누가복음 1:31-32, 누가복음 1:68-69
13:24	마태복음 3:1, 마태복음 3:6
13:25	요한복음 1:20, 마태복음 3:11, 누가복음 3:16
13:26	마태복음 10:5-6, 누가복음 24:47-48
13:27	이사야 53:7-8
13:28	마태복음 26:59-60, 누가복음 23:13-15, 요한복음 19:4, 마태복음 27:22-23, 요한복음 19:15
13:29	마태복음 27:59-60, 요한복음 19:40-42
13:30	마태복음 28:5-6, 사도행전 2:24
13:31	마태복음 28:16, 사도행전 1:3, 사도행전 3:15, 고린도 전서 15:4-7
13:33	로마서 1:4, 시편 2:7, 히브리서 1:5, 히브리서 5:5
13:34	이사야 55:3
13:35	시편 16:10, 사도행전 2:31
13:36	사도행전 2:29
13:37	사도행전 2:27
13:38	누가복음 24:46-47, 사도행전 5:31, 사도행전 10:43
13:39	히브리서 10:1, 이사야 53:11, 로마서 3:28, 로마서 5:18, 로마서 8:3, 히브리서 7:19
13:41	하박국 1:5
13:43	사도행전 11:23, 사도행전 14:21-22
13:45	사도행전 14:1-2, 사도행전 17:4-5
13:46	마태복음 10:5-6, 사도행전 3:25-26, 로마서 1:16, 누가복음 2:29-32, 사도행전 18:5-6, 로마서 10:19
13:47	이사야 49:6, 사도행전 1:8
13:50	마태복음 23:34, 사도행전 14:2, 사도행전 14:19, 사도행전 17:5, 디모데 후서 3:11
13:51	마태복음 10:14, 누가복음 9:5
13:52	마태복음 5:12
14:1	사도행전 17:2
14:2	사도행전 13:45
14:3	사도행전 19:11, 히브리서 2:3-4
14:5	사도행전 14:19, 디모데 후서 3:11
14:6	마태복음 10:23
14:9	마태복음 9:28
14:10	이사야 35:6, 사도행전 3:5-8
14:11	사도행전 28:3-6
14:15	사도행전 10:25-26, 출애굽기 20:11, 시편 146:6, 요한 계시록 4:11, 예레미야 10:10, 다니엘 6:26
14:16	사도행전 17:30
14:17	사도행전 17:26-27, 로마서 1:20, 시편 65:9-10, 시편 147:8, 예레미야 5:24, 마태복음 5:45, 시편 145:16
14:19	사도행전 13:50, 사도행전 14:2, 사도행전 17:13, 고린도 후서 11:25, 디모데 후서 3:11
14:20	사도행전 16:1
14:22	사도행전 11:22-23, 마태복음 10:38, 요한복음 15:19, 로마서 8:17, 데살로니가 전서 3:4
14:23	디도서 1:5, 사도행전 13:2-3
14:24	사도행전 13:13
14:26	사도행전 13:1-2
14:27	사도행전 11:18
15:1	창세기 17:9-10, 출애굽기 12:43-44, 출애굽기 12:48, 레위기 12:2-3
15:2	갈라디아서 2:1
15:3	사도행전 11:19
15:4	사도행전 21:17-19
15:5	출애굽기 12:48, 사도행전 11:2-3
15:7	마태복음 16:19, 사도행전 10:34-35, 사도행전 11:16-17
15:8	역대기상 28:9, 예레미야 11:20, 사도행전 10:44-45, 사도행전 11:15
