1:1	창세기 4:25
9:20	출애굽기 6:25, 민수기 3:32, 민수기 25:11, 민수기 25:13, 여호수아 22:30, 사사기 20:28
9:21	역대기상 26:14, 역대기상 26:19
9:22	역대기상 9:1, 사무엘상 9:9
9:23	역대기하 23:16, 역대기하 23:19, 느헤미야 12:45
9:24	역대기상 26:14-16
9:26	역대기상 26:20, 역대기상 28:11-12, 역대기하 31:12
9:28	민수기 1:50
9:29	열왕기상 8:4, 레위기 2:1, 역대기상 23:29, 레위기 23:12-13, 출애굽기 27:20, 레위기 2:1-2, 출애굽기 25:3, 출애굽기 25:6
9:31	레위기 2:5, 레위기 2:7
9:32	역대기하 2:4, 역대기하 13:11, 레위기 24:6, 레위기 24:8
9:35	여호수아 21:8, 여호수아 21:17
9:39	사무엘상 14:50, 사무엘상 9:1-2, 사무엘상 11:15, 사무엘상 14:45, 사무엘상 18:1, 사무엘하 1:23, 사무엘상 14:49, 사무엘상 31:2
9:40	사무엘하 4:4, 사무엘하 9:12
10:1	사무엘상 31:1-5, 사무엘하 1:21, 사무엘하 1:25
10:2	역대기상 8:33
10:3	사무엘상 26:9-10
10:4	사사기 16:21, 사사기 16:23, 역대기상 10:13
10:6	사무엘상 31:6-7
10:8	사무엘상 28:4, 사무엘상 31:8-10
10:9	사사기 16:23-24
10:10	사무엘상 5:2
10:11	사무엘상 11:1, 사무엘상 31:11-13
10:12	사무엘하 2:5, 사무엘하 21:12
10:13	사무엘상 13:13, 사무엘상 15:22-23, 레위기 20:6, 사무엘상 28:7
10:14	룻기 4:17, 사무엘상 13:14, 사무엘상 15:27-28, 사무엘하 5:3
11:1	민수기 13:22, 사무엘하 2:1, 사무엘하 5:5, 역대기상 12:23, 사무엘하 5:1-2
11:2	사무엘상 18:6, 사무엘상 18:13, 사무엘하 6:21, 사무엘하 7:8-9, 시편 78:70-71
11:3	사무엘상 16:13, 사무엘하 2:4, 사무엘하 5:3, 사무엘상 15:27-28
11:4	여호수아 15:63, 사사기 1:21, 사사기 19:10, 창세기 10:15-16, 창세기 15:18, 창세기 15:21, 출애굽기 3:17
11:5	사무엘하 5:6-10, 열왕기상 8:1, 시편 2:6, 시편 48:2, 열왕기상 2:10
11:6	사무엘하 2:18
11:9	사무엘하 3:1
11:10	사무엘상 16:12-13
11:11	역대기상 27:1-2, 사무엘하 23:8, 여호수아 23:10
11:12	역대기상 8:1, 역대기상 8:4, 사무엘하 23:9-10, 사무엘하 23:15-17
11:13	사무엘상 17:1
11:14	시편 18:50
11:15	사무엘상 22:1, 여호수아 15:8, 여호수아 15:12, 사무엘하 23:13-17
11:17	사무엘상 20:6
11:19	창세기 9:4, 레위기 17:10
11:20	사무엘하 3:30, 사무엘상 26:6, 사무엘하 2:18, 사무엘하 18:2, 사무엘하 23:18-19
11:22	열왕기상 4:4, 역대기상 27:1, 역대기상 27:5, 여호수아 15:21, 사사기 14:5-6, 사무엘상 17:36-37, 사무엘하 23:20-23
11:23	사무엘상 17:4, 사무엘상 17:7, 사무엘상 17:51
11:25	역대기상 11:19
11:26	사무엘하 2:18, 사무엘하 2:23, 역대기상 27:1, 역대기상 27:7, 사무엘하 23:24-39
11:28	역대기상 27:1, 역대기상 27:9, 역대기상 27:1, 역대기상 27:12
11:29	사무엘하 21:18, 역대기상 27:1, 역대기상 27:11
11:30	역대기상 27:1, 역대기상 27:13, 역대기상 27:1, 역대기상 27:15
11:31	사사기 20:15, 역대기상 12:1-2
11:32	여호수아 24:30
11:41	사무엘하 11:3, 사무엘하 11:17, 사무엘하 12:9, 열왕기상 15:5
12:1	사무엘상 27:1, 사무엘상 27:5-6, 사무엘하 1:1, 역대기상 11:10
12:2	사무엘상 17:49, 사사기 3:15, 사사기 20:15-16, 창세기 49:27
12:3	사무엘상 11:4, 역대기상 11:26, 역대기상 11:33
12:4	역대기상 11:15, 여호수아 9:3
12:6	민수기 26:10-11
12:8	사무엘상 23:14, 사무엘상 23:29, 사무엘상 24:22, 역대기상 11:16
12:14	창세기 49:19, 신명기 33:20, 레위기 26:8
12:16	사무엘상 22:1, 사무엘상 23:14, 사무엘상 24:22
12:17	사무엘상 24:12, 사무엘상 24:15, 사무엘상 26:23, 시편 7:6
12:18	사사기 6:34, 사사기 13:24-25, 사무엘하 15:21, 시편 54:4
12:19	사사기 3:1, 사사기 3:3, 사무엘상 29:2-4
12:20	사무엘상 30:1, 신명기 33:17
12:21	역대기상 5:23-24, 역대기상 11:10
12:22	사무엘하 2:3, 사무엘하 3:1
12:23	사무엘상 16:1, 사무엘상 16:13, 역대기상 11:10, 사무엘하 2:1, 사무엘하 5:1
12:27	역대기상 6:49, 역대기상 27:1, 역대기상 27:5
12:28	사무엘하 8:17, 열왕기상 1:8, 열왕기상 2:35, 역대기상 6:1, 역대기상 6:8, 역대기상 27:16-17
12:29	역대기상 8:1, 역대기상 8:33, 역대기상 12:1-2
12:37	민수기 32:33, 여호수아 13:8
12:38	창세기 49:8, 창세기 49:10, 역대기상 11:10
13:1	역대기상 15:25
13:2	민수기 35:2
