1:1	요한복음 12:48-49, 골로새서 1:15, 요한 계시록 3:14, 요한 계시록 19:11, 요한 계시록 19:13, 잠언 8:22, 잠언 8:30, 요한복음 17:5, 이사야 9:6, 요한복음 1:18, 요한복음 10:35-36, 빌립보서 2:5-6
5:10	출애굽기 20:9-10, 마태복음 12:2, 누가복음 6:2
5:16	마태복음 12:10, 마태복음 12:14
5:17	요한복음 4:34, 요한복음 5:36, 요한복음 9:4, 요한복음 10:25, 요한복음 14:10
5:18	요한복음 10:33, 요한복음 14:28, 빌립보서 2:5-6
5:19	요한복음 5:30, 요한복음 7:28, 요한복음 8:28, 요한복음 12:49
5:20	마태복음 3:17, 요한복음 3:35, 요한복음 10:17, 베드로 후서 1:17, 누가복음 8:25, 요한복음 6:10-11, 요한복음 6:19
5:21	열왕기하 4:32-34, 히브리서 11:35, 누가복음 7:12, 누가복음 7:14, 누가복음 8:52-54, 요한복음 11:25
5:22	사도행전 10:42, 사도행전 17:31, 고린도 후서 5:10, 디모데 후서 4:1
5:23	누가복음 10:16, 요한복음 15:23, 요한 1서 2:23
5:24	요한복음 3:16, 요한복음 6:40, 요한복음 8:51, 요한 1서 3:14
5:26	시편 36:9, 사도행전 17:28, 요한복음 11:25
5:27	요한복음 5:22, 디모데 후서 4:1, 다니엘 7:13
5:28	욥기 14:13, 이사야 25:8, 이사야 26:19, 사도행전 24:15
5:29	요한 계시록 20:12, 요한 계시록 20:15
5:30	이사야 11:4, 마태복음 26:39, 요한복음 4:34, 요한복음 6:38
5:31	신명기 19:15
5:32	마태복음 3:17, 마가복음 9:7, 요한복음 12:28-30, 요한 1서 5:9
5:33	요한복음 1:15, 요한복음 1:32
5:35	마태복음 3:1, 마태복음 3:5-6, 마가복음 6:20
5:36	마태복음 11:5, 요한복음 3:2, 요한복음 7:31, 요한복음 10:25
5:37	마가복음 1:11, 요한복음 8:18, 신명기 4:11-12, 요한복음 1:18, 요한복음 6:46
5:39	누가복음 11:52, 신명기 18:15
5:40	이사야 53:3, 요한복음 1:11
5:44	마태복음 6:5, 누가복음 11:43, 요한복음 12:42-43
5:45	신명기 31:26-27, 요한복음 7:19
5:46	신명기 18:15, 누가복음 24:44, 요한복음 1:45, 사도행전 26:22-23
5:47	누가복음 16:31
6:1	마태복음 14:13, 누가복음 9:10
6:2	마가복음 6:33, 누가복음 9:11
6:4	요한복음 2:13, 요한복음 5:1
6:5	요한복음 1:44, 마태복음 14:14-17, 마가복음 6:35-38, 누가복음 9:12-13
6:9	열왕기하 4:42-44
6:10	마태복음 14:19-21, 마가복음 6:39-44, 누가복음 9:14-17
6:14	신명기 18:15, 신명기 18:18, 누가복음 24:19, 사도행전 3:22
6:15	마태복음 14:23, 마가복음 6:45, 요한복음 17:16, 요한복음 18:36
6:16	마태복음 14:22
6:17	마가복음 6:47-51
6:18	마태복음 8:24, 마태복음 14:24-33
6:20	마태복음 14:27, 마가복음 6:50
6:21	마태복음 14:34
6:25	요한복음 1:38
6:26	요한복음 6:11
6:27	마태복음 6:31-33, 요한복음 4:14, 요한복음 17:3, 로마서 6:23, 마태복음 3:17, 사도행전 2:22, 베드로 후서 1:17
6:29	요한복음 7:29, 요한복음 8:42, 사도행전 16:31, 요한 1서 3:23
6:30	마태복음 12:38, 마가복음 8:12, 요한복음 2:18, 고린도 전서 1:22
6:31	느헤미야 9:15, 시편 78:24, 시편 105:40, 출애굽기 16:4, 출애굽기 16:15, 민수기 11:7
6:33	요한복음 3:16
6:35	요한복음 4:14, 요한복음 7:37, 요한 계시록 22:17
6:36	요한복음 6:64
6:37	마태복음 11:28-29, 요한복음 17:6
6:38	마태복음 26:39, 요한복음 5:30, 요한복음 3:13, 요한복음 8:23, 요한복음 8:42
6:39	요한복음 17:12, 요한복음 18:9, 요한복음 5:28-29, 로마서 6:5
6:40	요한복음 10:27-28, 요한복음 11:24, 사도행전 17:31, 데살로니가 전서 4:16, 요한 계시록 20:12
6:41	요한복음 6:33
6:42	마태복음 13:55, 마가복음 6:3, 누가복음 4:22
6:44	요한복음 6:65, 데살로니가 후서 2:13, 요한복음 11:24
6:45	이사야 54:13, 예레미야 31:33-34, 미가 4:2
