1:1	출애굽기 40:34
8:24	출애굽기 24:6
8:25	출애굽기 29:22-25
8:26	레위기 2:4, 출애굽기 29:1-2
8:29	레위기 7:29-30, 출애굽기 29:26-27, 레위기 7:34-35
8:30	출애굽기 30:30, 민수기 3:2-3, 출애굽기 29:21
8:31	레위기 6:28, 출애굽기 29:31-32, 고린도 전서 9:13
8:32	출애굽기 29:34
8:33	출애굽기 29:30, 출애굽기 29:35, 민수기 3:2-3
8:34	출애굽기 29:36, 레위기 17:11
8:35	출애굽기 29:37, 민수기 1:53
9:1	레위기 8:35
9:2	레위기 4:3
9:4	레위기 3:1, 레위기 2:4, 레위기 6:14, 출애굽기 29:43
9:6	출애굽기 16:10, 출애굽기 24:16, 출애굽기 40:34
9:7	레위기 4:3, 히브리서 7:27, 히브리서 5:1-3, 레위기 16:33
9:8	레위기 4:3-4
9:9	히브리서 9:22, 레위기 4:7, 레위기 8:14-15
9:10	레위기 4:8-10
9:11	레위기 4:11-12, 히브리서 13:11
9:12	레위기 1:5
9:16	레위기 1:3, 레위기 6:9
9:17	레위기 2:1, 레위기 2:11, 레위기 2:13, 출애굽기 29:39
9:18	레위기 3:1-2
9:19	레위기 3:3-4, 레위기 3:9-10
9:20	레위기 7:29-31
9:21	출애굽기 29:27-28
9:22	민수기 6:23-27, 신명기 10:8, 신명기 21:5, 역대기상 23:13
9:23	사무엘하 6:18, 역대기하 6:3, 레위기 9:6
9:24	사사기 6:21, 역대기상 21:26, 열왕기상 18:38-39, 역대기하 7:1, 역대기하 7:3
10:1	출애굽기 6:23, 역대기상 24:2, 출애굽기 30:34-35, 레위기 16:12, 출애굽기 30:9, 레위기 10:9, 레위기 16:1-2
10:2	민수기 16:35, 민수기 26:61
10:3	출애굽기 19:22
10:4	출애굽기 6:18
10:6	레위기 21:10
10:7	출애굽기 28:41, 레위기 8:12, 레위기 21:11-12
10:9	에스겔 44:21
10:10	에스겔 44:23
10:11	신명기 33:10, 역대기하 17:8-9, 느헤미야 8:7-8, 말라기 2:7
10:12	레위기 6:14, 레위기 6:16, 레위기 21:22
10:13	레위기 6:26, 민수기 18:10
10:14	레위기 22:13, 민수기 18:11, 출애굽기 29:26-28, 레위기 7:31, 레위기 7:34, 레위기 9:21
10:15	고린도 전서 9:13
10:16	레위기 9:3, 레위기 9:15
10:17	레위기 6:25-26, 에스겔 44:29
10:18	레위기 6:29-30
10:19	레위기 9:8, 레위기 9:12
11:2	신명기 14:4-6, 에스겔 4:14
11:4	신명기 14:7-8
11:5	잠언 30:26
11:7	이사야 65:4, 이사야 66:3, 이사야 66:17
11:8	사도행전 10:14
11:9	신명기 14:9-10
11:11	신명기 14:3
11:13	욥기 39:27, 욥기 39:30, 신명기 14:12-19
11:22	마태복음 3:4, 마가복음 1:6
11:24	레위기 14:46-47, 레위기 15:8, 레위기 17:15, 레위기 22:4-6
11:25	레위기 14:2, 레위기 14:8, 레위기 15:2, 레위기 15:5, 민수기 19:10
11:26	신명기 14:7-8
11:28	레위기 17:15-16, 레위기 5:2
11:29	이사야 66:17
11:31	신명기 14:19, 레위기 11:24, 레위기 22:4-5
11:33	레위기 15:12
11:39	레위기 11:23-24, 민수기 19:11, 민수기 19:16
11:40	레위기 17:15, 레위기 22:3, 레위기 22:8, 신명기 14:21, 에스겔 4:14, 에스겔 44:31
11:41	레위기 11:21
11:42	신명기 14:3
11:43	레위기 20:25
11:44	출애굽기 20:2, 베드로 전서 1:15-16, 요한 계시록 4:8, 출애굽기 19:6, 레위기 19:2, 신명기 14:2, 데살로니가 전서 4:7
11:45	출애굽기 6:7, 출애굽기 29:46, 호세아 11:1, 레위기 20:7, 레위기 20:26, 여호수아 24:19, 사무엘상 2:2, 출애굽기 22:31, 민수기 15:40, 신명기 7:6
11:47	레위기 20:25, 에스겔 44:23
12:2	레위기 15:19
12:3	창세기 17:12, 창세기 21:4, 누가복음 1:59, 누가복음 2:21-22, 요한복음 7:22
12:6	레위기 1:10
12:8	레위기 1:14, 레위기 5:7, 레위기 14:21-22, 누가복음 2:24
13:2	민수기 12:10, 민수기 12:12, 역대기하 26:19, 마태복음 8:3, 신명기 24:8, 에스겔 44:23, 말라기 2:7, 누가복음 17:14
13:4	레위기 13:50, 레위기 14:38, 민수기 12:15
13:6	마태복음 8:4, 마가복음 1:44, 누가복음 5:14, 누가복음 17:14
13:8	레위기 13:15, 레위기 13:25, 레위기 13:30, 레위기 13:42, 민수기 12:10, 민수기 12:12
13:10	레위기 13:3, 레위기 13:24-25
13:11	레위기 13:4
13:15	신명기 24:8, 레위기 13:8
13:17	누가복음 5:14, 누가복음 17:14
13:20	에스겔 44:23
13:21	레위기 13:4, 레위기 13:50, 레위기 14:38, 민수기 12:15
13:23	마태복음 8:4, 마가복음 1:44, 누가복음 5:14, 누가복음 17:14
13:26	레위기 13:4, 레위기 13:50, 레위기 14:38, 민수기 12:15
13:30	신명기 24:8, 말라기 2:7
13:31	레위기 13:4, 레위기 13:50, 레위기 14:38, 민수기 12:15
13:37	마태복음 8:4, 마가복음 1:44, 누가복음 5:14, 누가복음 17:14
13:39	레위기 13:2
13:46	민수기 5:2, 민수기 12:14, 열왕기하 7:3, 역대기하 26:20-21
13:50	레위기 13:4, 레위기 14:38, 민수기 12:15
13:51	레위기 14:44-45
13:57	레위기 13:52
14:2	레위기 13:2, 마태복음 8:4, 마가복음 1:44, 누가복음 5:14, 누가복음 17:14
14:4	레위기 14:49-53, 민수기 19:6, 민수기 19:9, 시편 51:7
14:7	레위기 16:22
14:10	레위기 4:32, 레위기 2:1, 마가복음 1:44
14:12	레위기 6:6, 레위기 14:21, 레위기 14:24
14:13	레위기 1:10-11, 레위기 4:3-4, 레위기 2:3, 레위기 7:7, 고린도 전서 9:13, 고린도 전서 10:18, 레위기 6:25
14:15	레위기 14:10
14:18	레위기 6:7, 요한 1서 1:7, 요한 1서 2:1-2
14:19	레위기 5:6
14:20	레위기 2:1, 레위기 14:10, 민수기 15:4, 마태복음 8:4, 레위기 14:9, 마가복음 1:44, 누가복음 5:14, 누가복음 17:14
14:22	레위기 1:14, 레위기 5:7, 레위기 12:8
14:23	레위기 15:13-14, 레위기 14:10-11
14:24	레위기 6:6, 레위기 14:12
14:25	레위기 14:14
14:26	레위기 14:15-18
14:30	레위기 12:8, 레위기 14:22
14:31	레위기 5:7, 레위기 14:20
