1:1	창세기 46:8
9:3	출애굽기 7:4, 출애굽기 9:15
9:4	출애굽기 8:22, 출애굽기 10:23, 출애굽기 11:7, 출애굽기 12:13
9:6	시편 78:48
9:7	출애굽기 4:21
9:11	출애굽기 7:11-12, 출애굽기 7:20, 출애굽기 7:22, 출애굽기 8:7, 출애굽기 8:18, 디모데 후서 3:8
9:12	출애굽기 4:21, 출애굽기 8:31-32, 출애굽기 14:17
9:14	출애굽기 8:9-10, 사무엘하 7:22, 시편 83:18
9:16	출애굽기 14:17, 여호수아 2:9-10, 역대기상 16:24, 잠언 16:4, 이사야 63:12, 로마서 9:17
9:22	출애굽기 10:4-5, 시편 78:47, 시편 105:32
9:24	출애굽기 9:18
9:25	시편 105:33
9:26	출애굽기 8:22, 출애굽기 9:3-4, 출애굽기 10:23, 출애굽기 11:7, 출애굽기 12:13
9:29	출애굽기 7:5, 출애굽기 7:17, 출애굽기 8:9-10, 출애굽기 8:22, 출애굽기 14:4, 신명기 10:14, 시편 24:1
9:33	출애굽기 10:17-19
9:34	출애굽기 4:21, 출애굽기 8:13, 출애굽기 8:15
9:35	출애굽기 7:4
10:1	출애굽기 4:21, 출애굽기 9:34, 출애굽기 9:15-16, 시편 78:12, 로마서 9:17
10:2	출애굽기 13:3, 출애굽기 13:8, 신명기 4:9, 신명기 6:20-22, 시편 44:1
10:3	출애굽기 9:17
10:5	출애굽기 9:31-32
10:6	출애굽기 9:24
10:9	출애굽기 10:25-26, 출애굽기 3:18, 출애굽기 5:1
10:10	출애굽기 12:31-32
10:14	시편 78:46, 출애굽기 10:5, 시편 105:34-35
10:18	출애굽기 8:30-31
10:20	출애굽기 7:3, 출애굽기 11:10, 로마서 9:17-18
10:22	시편 105:28
10:23	출애굽기 8:21-22, 출애굽기 9:3, 출애굽기 9:6, 출애굽기 9:26, 출애굽기 11:7, 출애굽기 12:13
10:24	출애굽기 8:28, 출애굽기 9:28
10:25	출애굽기 3:18, 출애굽기 5:3
10:27	출애굽기 4:21, 출애굽기 14:4
11:1	신명기 4:34, 출애굽기 12:31-32
11:2	출애굽기 3:21-22, 출애굽기 12:35-36, 시편 105:37
11:4	출애굽기 12:29
11:5	출애굽기 4:22-23, 시편 78:51, 시편 105:36, 시편 136:10, 히브리서 11:28, 출애굽기 12:12
11:6	출애굽기 12:30
11:7	출애굽기 8:22, 출애굽기 9:3-4, 출애굽기 10:23, 출애굽기 12:13
11:8	출애굽기 12:33
11:9	출애굽기 3:19, 출애굽기 7:4, 로마서 9:17-18, 출애굽기 7:3
11:10	시편 135:9, 출애굽기 4:21, 출애굽기 9:15-16, 출애굽기 10:20
12:2	출애굽기 13:4, 출애굽기 23:15, 민수기 28:16, 신명기 16:1
12:3	요한복음 1:29, 고린도 전서 5:7, 요한 계시록 5:6
12:5	레위기 22:18-20, 신명기 17:1, 베드로 전서 1:19
12:6	민수기 28:16, 출애굽기 12:18, 레위기 23:5, 신명기 16:6
12:7	고린도 전서 5:7, 히브리서 11:28
12:8	신명기 16:6-7, 출애굽기 13:3, 출애굽기 34:25, 신명기 16:3, 고린도 전서 5:8, 민수기 9:11
12:10	레위기 7:15, 레위기 22:29-30, 신명기 16:4
12:12	출애굽기 11:4-5, 출애굽기 12:29, 민수기 33:4
12:13	출애굽기 8:22, 출애굽기 9:4, 출애굽기 9:26, 출애굽기 10:23, 출애굽기 11:7
12:15	출애굽기 23:15, 레위기 23:6
12:16	레위기 23:8
12:17	레위기 23:6, 누가복음 22:1, 고린도 전서 5:8
12:18	레위기 23:5-6
12:19	민수기 9:14, 신명기 16:3, 고린도 전서 5:7
12:21	출애굽기 3:16, 민수기 11:16
12:23	히브리서 11:28
12:24	신명기 16:3
12:25	여호수아 5:10
12:26	출애굽기 13:3, 출애굽기 13:8, 신명기 6:6-7
12:28	히브리서 11:28
12:29	민수기 33:4, 시편 78:51, 시편 105:36, 창세기 15:14, 출애굽기 11:4-5, 민수기 3:13, 시편 135:8
12:30	출애굽기 11:6
12:31	출애굽기 10:28-29, 출애굽기 3:19-20, 출애굽기 6:1, 출애굽기 10:8-11, 시편 105:38
12:32	출애굽기 10:26
12:33	출애굽기 10:7, 출애굽기 12:11
12:35	창세기 15:14, 출애굽기 3:21, 출애굽기 11:2, 시편 105:37
12:36	출애굽기 3:22
12:37	창세기 47:11, 출애굽기 1:11, 민수기 33:5, 창세기 12:1-2, 창세기 15:1, 창세기 15:5, 창세기 46:2-3, 출애굽기 1:7, 민수기 2:32
12:38	민수기 11:4
12:39	출애굽기 12:31
12:40	창세기 46:2-3, 창세기 47:27, 사도행전 13:17, 갈라디아서 3:17
12:42	신명기 16:1
12:43	레위기 22:10
12:44	창세기 17:12, 창세기 17:23
12:46	민수기 9:12, 시편 34:19-20, 요한복음 19:33, 요한복음 19:36
12:48	민수기 9:14
12:49	레위기 24:22, 민수기 15:16
13:2	민수기 3:13, 민수기 18:15, 신명기 15:19, 누가복음 2:22-23
13:3	출애굽기 12:42, 신명기 16:3, 신명기 4:34, 느헤미야 9:10
13:4	신명기 16:1
13:5	출애굽기 3:8, 출애굽기 34:11, 창세기 15:18, 출애굽기 6:5, 출애굽기 6:8, 출애굽기 3:17, 신명기 8:7-9
13:6	출애굽기 12:15, 출애굽기 34:18
13:7	출애굽기 23:15, 신명기 16:3
13:8	출애굽기 12:26-27
13:9	출애굽기 12:14, 신명기 11:18
13:10	출애굽기 12:24-25
13:11	창세기 15:18
13:12	출애굽기 22:29, 출애굽기 34:19-20, 레위기 27:26, 민수기 3:13, 누가복음 2:22-23
13:13	민수기 18:15
13:14	신명기 7:7-8
13:15	출애굽기 5:2, 출애굽기 12:29, 시편 78:51
13:16	신명기 11:18
13:18	출애굽기 14:2-3, 민수기 33:5
13:19	창세기 50:24-25, 여호수아 24:32, 히브리서 11:22
13:21	출애굽기 14:19, 민수기 9:15, 시편 78:14
13:22	시편 105:39, 고린도 전서 10:1
14:2	출애굽기 13:17-18
14:4	출애굽기 7:13, 로마서 9:17-18, 출애굽기 9:15-16, 출애굽기 15:11, 출애굽기 18:10-11, 여호수아 2:9-10, 출애굽기 7:5, 출애굽기 8:22
14:5	출애굽기 12:33
14:6	출애굽기 14:23
14:8	민수기 33:3
14:9	출애굽기 15:9
14:10	여호수아 24:6-7, 느헤미야 9:9
14:11	출애굽기 16:3, 출애굽기 17:3, 민수기 14:2-4, 시편 106:7
14:12	출애굽기 5:21, 출애굽기 6:6, 출애굽기 6:9
14:13	민수기 14:9, 신명기 20:3, 역대기하 20:15, 역대기하 20:17, 시편 27:1, 시편 46:1, 이사야 41:10, 역대기하 20:17, 출애굽기 14:30, 출애굽기 15:5, 시편 136:15
